Verse,Text,Stage
Gen 49:11,אֹסְרִי לַגֶּפֶן עִירוֺ וְלַשֹּׂרֵקָה בְּנִי אֲתֹנוֺ כִּבֵּס בַּיַּיִן לְבֻשׁוֺ וּבְדַם־עֲנָבִים סוּתוֺ,ABH
Gen 49:12,חַכְלִילִי עֵינַיִם מִיָּיִן וּלְבֶן־שִׁנַּיִם מֵחָלָב,ABH
Gen 49:13,זְבוּלֻן לְחוֺף יַמִּים יִשְׁכֹּן וְהוּא לְחוֺף אֳנִיּוֺת וְיַרְכָתוֺ עַל־צִידֹן,ABH
Gen 49:14,יִשָּׂשכָר חֲמֹר גָּרֶם רֹבֵץ בֵּין הַמִּשְׁפְּתָיִם,ABH
Gen 49:15,וַיַּרְא מְנֻחָה כִּי טוֺב וְאֶת־הָאָרֶץ כִּי נָעֵמָה וַיֵּט שִׁכְמוֺ לִסְבֹּל וַיְהִי לְמַס־עֹבֵד,ABH
Gen 49:16,דָּן יָדִין עַמּוֺ כְּאַחַד שִׁבְטֵי יִשְׂרָאֵל,ABH
Gen 49:17,יְהִי־דָן נָחָשׁ עֲלֵי־דֶרֶךְ שְׁפִיפֹן עֲלֵי־אֹרַח הַנֹּשֵׁךְ עִקְּבֵי־סוּס וַיִּפֹּל רֹכְבוֺ אָחוֺר,ABH
Gen 49:18,לִישׁוּעָתְךָ קִוִּיתִי יְהוָה,ABH
Gen 49:19,גָּד גְּדוּד יְגוּדֶנּוּ וְהוּא יָגֻד עָקֵב,ABH
Gen 49:20,מֵאָשֵׁר שְׁמֵנָה לַחְמוֺ וְהוּא יִתֵּן מַעֲדַנֵּי־מֶלֶךְ,ABH
Gen 49:21,נַפְתָּלִי אַיָּלָה שְׁלֻחָה הַנֹּתֵן אִמְרֵי־שָׁפֶר,ABH
Gen 49:22,בֵּן פֹּרָת יוֺסֵף בֵּן פֹּרָת עֲלֵי־עָיִן בָּנוֺת צָעֲדָה עֲלֵי־שׁוּר,ABH
Gen 49:23,וַיְמָרֲרֻהוּ וָרֹבּוּ וַיִּשְׂטְמֻהוּ בַּעֲלֵי חִצִּים,ABH
Gen 49:24,וַתֵּשֶׁב בְּאֵיתָן קַשְׁתּוֺ וַיָּפֹזּוּ זְרֹעֵי יָדָיו מִידֵי אֲבִיר יַעֲקֹב מִשָּׁם רֹעֶה אֶבֶן יִשְׂרָאֵל,ABH
Gen 49:25,מֵאֵל אָבִיךָ וְיַעְזְרֶךָּ וְאֵת שַׁדַּי וִיבָרְכֶךָּ בִּרְכֹת שָׁמַיִם מֵעָל בִּרְכֹת תְּהוֺם רֹבֶצֶת תָּחַת בִּרְכֹת שָׁדַיִם וָרָחַם,ABH
Gen 49:26,בִּרְכֹת אָבִיךָ גָּבְרוּ עַל־בִּרְכֹת הוֺרַי עַד־תַּאֲוַת גִּבְעֹת עוֺלָם תִּהְיֶין לְרֹאשׁ יוֺסֵף וּלְקָדְקֹד נְזִיר אֶחָיו,ABH
Gen 49:27,בִּנְיָמִין זְאֵב יִטְרָף בַּבֹּקֶר יֹאכַל עַד וְלָעֶרֶב יְחַלֵּק שָׁלָל,ABH
Exod 15:1,אָשִׁירָה לַיהוָה כִּי־גָאֹה גָּאָה סוּס וְרֹכְבוֺ רָמָה בַיָּם,ABH
Exod 15:2,עָזִּי וְזִמְרָת יָהּ וַיְהִי־לִי לִישׁוּעָה זֶה אֵלִי וְאַנְוֵהוּ אֱלֹהֵי אָבִי וַאֲרֹמְמֶנְהוּ,ABH
Exod 15:3,יְהוָה אִישׁ מִלְחָמָה יְהוָה שְׁמוֺ,ABH
Exod 15:4,מַרְכְּבֹת פַּרְעֹה וְחֵילוֺ יָרָה בַיָּם וּמִבְחַר שָׁלִשָׁיו טֻבְּעוּ בְיַם־סוּף,ABH
Exod 15:5,תְּהֹמֹת יְכַסְיֻמוּ יָרְדוּ בִמְצוֺלֹת כְּמוֺ־אָבֶן,ABH
Exod 15:6,יְמִינְךָ יְהוָה נֶאְדָּרִי בַּכֹּחַ יְמִינְךָ יְהוָה תִּרְעַץ אוֺיֵב,ABH
Exod 15:7,וּבְרֹב גְּאוֺנְךָ תַּהֲרֹס קָמֶיךָ תְּשַׁלַּח חֲרֹנְךָ יֹאכְלֵמוֺ כַּקַּשׁ,ABH
Exod 15:8,וּבְרוּחַ אַפֶּיךָ נֶעֶרְמוּ מַיִם נִצְּבוּ כְמוֺ־נֵד נֹזְלִים קָפְאוּ תְהֹמֹת בְּלֶב־יָם,ABH
Exod 15:9,אָמַר אוֺיֵב אֶרְדֹּף אַשִּׂיג אֲחַלֵּק שָׁלָל תִּמְלָאֵמוֺ נַפְשִׁי אָרִיק חַרְבִּי תּוֺרִישֵׁמוֺ יָדִי,ABH
Exod 15:10,נָשַׁפְתָּ בְרוּחֲךָ כִּסָּמוֺ יָם צָלֲלוּ כַּעוֺפֶרֶת בְּמַיִם אַדִּירִים,ABH
Exod 15:11,מִי־כָמֹכָה בָּאֵלִם יְהוָה מִי כָּמֹכָה נֶאְדָּר בַּקֹּדֶשׁ נוֺרָא תְהִלֹּת עֹשֵׂה פֶלֶא,ABH
Exod 15:12,נָטִיתָ יְמִינְךָ תִּבְלָעֵמוֺ אָרֶץ,ABH
Exod 15:13,נָחִיתָ בְחַסְדְּךָ עַם־זוּ גָּאָלְתָּ נֵהַלְתָּ בְעָזְּךָ אֶל־נְוֵה קָדְשֶׁךָ,ABH
Exod 15:14,שָׁמְעוּ עַמִּים יִרְגָּזוּן חִיל אָחַז יֹשְׁבֵי פְּלָשֶׁת,ABH
Exod 15:15,אָז נִבְהֲלוּ אַלּוּפֵי אֱדוֺם אֵילֵי מוֺאָב יֹאחֲזֵמוֺ רָעַד נָמֹגוּ כֹּל יֹשְׁבֵי כְנָעַן,ABH
Exod 15:16,תִּפֹּל עֲלֵיהֶם אֵימָתָה וָפַחַד בִּגְדֹל זְרוֺעֲךָ יִדְּמוּ כָּאָבֶן עַד־יַעֲבֹר עַמְּךָ יְהוָה עַד־יַעֲבֹר עַם־זוּ קָנִיתָ,ABH
Exod 15:17,תְּבִאֵמוֺ וְתִטָּעֵמוֺ בְּהַר נַחֲלָתְךָ מָכוֺן לְשִׁבְתְּךָ פָּעַלְתָּ יְהוָה מִקְּדָשׁ אֲדֹנָי כּוֺנְנוּ יָדֶיךָ,ABH
Exod 15:18,יְהוָה יִמְלֹךְ לְעֹלָם וָעֶד,ABH
Num 23:7,מִן־אֲרָם יַנְחֵנִי בָלָק מֶלֶךְ־מוֺאָב מֵהַרְרֵי־קֶדֶם לְכָה אָרָה־לִּי יַעֲקֹב וּלְכָה זֹעֲמָה יִשְׂרָאֵל,ABH
Num 23:8,מָה אֶקֹּב לֹא קַבֹּה אֵל וּמָה אֶזְעֹם לֹא זָעַם יְהוָה,ABH
Num 23:9,כִּי־מֵרֹאשׁ צֻרִים אֶרְאֶנּוּ וּמִגְּבָעוֺת אֲשׁוּרֶנּוּ הֶן־עָם לְבָדָד יִשְׁכֹּן וּבַגּוֺיִם לֹא יִתְחַשָּׁב,ABH
Num 23:10,מִי מָנָה עֲפַר יַעֲקֹב וּמִסְפָּר אֶת־רֹבַע יִשְׂרָאֵל תָּמֹת נַפְשִׁי מוֺת יְשָׁרִים וּתְהִי אַחֲרִיתִי כָּמֹהוּ,ABH
Num 23:18,קוּם בָּלָק וּשֲׁמָע הַאֲזִינָה עָדַי בְּנוֺ צִפֹּר,ABH
Num 23:19,לֹא אִישׁ אֵל וִיכַזֵּב וּבֶן־אָדָם וְיִתְנֶחָם הַהוּא אָמַר וְלֹא יַעֲשֶׂה וְדִבֶּר וְלֹא יְקִימֶנָּה,ABH
Num 23:20,הִנֵּה בָרֵךְ לָקָחְתִּי וּבֵרֵךְ וְלֹא אֲשִׁיבֶנָּה,ABH
Num 23:21,לֹא־הִבִּיט אָוֶן בְּיַעֲקֹב וְלֹא־רָאָה עָמָל בְּיִשְׂרָאֵל יְהוָה אֱלֹהָיו עִמּוֺ וּתְרוּעַת מֶלֶךְ בּוֺ,ABH
Num 23:22,אֵל מוֺצִיאָם מִמִּצְרָיִם כְּתוֺעֲפֹת רְאֵם לוֺ,ABH
Num 23:23,כִּי לֹא־נַחַשׁ בְּיַעֲקֹב וְלֹא־קֶסֶם בְּיִשְׂרָאֵל כָּעֵת יֵאָמֵר לְיַעֲקֹב וּלְיִשְׂרָאֵל מַה־פָּעַל אֵל,ABH
Num 23:24,הֶן־עָם כְּלָבִיא יָקוּם וְכַאֲרִי יִתְנַשָּׂא לֹא יִשְׁכַּב עַד־יֹאכַל טֶרֶף וְדַם־חֲלָלִים יִשְׁתֶּה,ABH
Num 24:3,נְאֻם בִּלְעָם בְּנוֺ בְעֹר וּנְאֻם הַגֶּבֶר שְׁתֻם הָעָיִן,ABH
Num 24:4,נְאֻם שֹׁמֵעַ אִמְרֵי־אֵל אֲשֶׁר מַחֲזֵה שַׁדַּי יֶחֱזֶה נֹפֵל וּגְלוּי עֵינָיִם,ABH
Num 24:5,מַה־טֹּבוּ אֹהָלֶיךָ יַעֲקֹב מִשְׁכְּנֹתֶיךָ יִשְׂרָאֵל,ABH
Num 24:6,כִּנְחָלִים נִטָּיוּ כְּגַנֹּת עֲלֵי נָהָר כַּאֲהָלִים נָטַע יְהוָה כַּאֲרָזִים עֲלֵי־מָיִם,ABH
Num 24:7,יִזַּל־מַיִם מִדָּלְיָו וְזַרְעוֺ בְּמַיִם רַבִּים וְיָרֹם מֵאֲגַג מַלְכּוֺ וְתִנַּשֵּׂא מַלְכֻתוֺ,ABH
Num 24:8,אֵל מוֺצִיאוֺ מִמִּצְרַיִם כְּתוֺעֲפֹת רְאֵם לוֺ יֹאכַל גּוֺיִם צָרָיו וְעַצְמֹתֵיהֶם יְגָרֵם וְחִצָּיו יִמְחָץ,ABH
Num 24:9,כָּרַע שָׁכַב כַּאֲרִי וּכְלָבִיא מִי יְקִימֶנּוּ מְבָרֲכֶיךָ בָרוּךְ וְאֹרְרֶיךָ אָרוּר,ABH
Num 24:15,נְאֻם בִּלְעָם בְּנוֺ בְעֹר וּנְאֻם הַגֶּבֶר שְׁתֻם הָעָיִן,ABH
Num 24:16,נְאֻם שֹׁמֵעַ אִמְרֵי־אֵל וְיֹדֵעַ דַּעַת עֶלְיוֺן מַחֲזֵה שַׁדַּי יֶחֱזֶה נֹפֵל וּגְלוּי עֵינָיִם,ABH
Num 24:17,אֶרְאֶנּוּ וְלֹא עַתָּה אֲשׁוּרֶנּוּ וְלֹא קָרוֺב דָּרַךְ כּוֺכָב מִיַּעֲקֹב וְקָם שֵׁבֶט מִיִּשְׂרָאֵל וּמָחַץ פַּאֲתֵי מוֺאָב וְקַרְקַר כָּל־בְּנֵי־שֵׁת,ABH
Num 24:18,וְהָיָה אֱדוֺם יְרֵשָׁה וְהָיָה יְרֵשָׁה שֵׂעִיר אֹיְבָיו וְיִשְׂרָאֵל עֹשֶׂה חָיִל,ABH
Num 24:19,וְיֵרְדְּ מִיַּעֲקֹב וְהֶאֱבִיד שָׂרִיד מֵעִיר,ABH
Num 24:20,וַיַּרְא אֶת־עֲמָלֵק וַיִּשָּׂא מְשָׁלוֺ וַיֹּאמַר רֵאשִׁית גּוֺיִם עֲמָלֵק וְאַחֲרִיתוֺ עֲדֵי אֹבֵד,ABH
Num 24:21,וַיַּרְא אֶת־הַקֵּינִי וַיִּשָּׂא מְשָׁלוֺ וַיֹּאמַר אֵיתָן מוֺשָׁבֶךָ וְשִׂים בַּסֶּלַע קִנֶּךָ,ABH
Num 24:22,כִּי אִם־יִהְיֶה לְבָעֵר קָיִן עַד־מָה אַשּׁוּר תִּשְׁבֶּךָּ,ABH
Num 24:23,וַיִּשָּׂא מְשָׁלוֺ וַיֹּאמַר אוֺי מִי יִחְיֶה מִשֻּׂמוֺ אֵל,ABH
Num 24:24,וְצִים מִיַּד כִּתִּים וְעִנּוּ אַשּׁוּר וְעִנּוּ־עֵבֶר וְגַם־הוּא עֲדֵי אֹבֵד,ABH
Deut 32:1,הַאֲזִינוּ הַשָּׁמַיִם וַאֲדַבֵּרָה וְתִשְׁמַע הָאָרֶץ אִמְרֵי־פִי,ABH
Deut 32:2,יַעֲרֹף כַּמָּטָר לִקְחִי תִּזַּל כַּטַּל אִמְרָתִי כִּשְׂעִירִם עֲלֵי־דֶשֶׁא וְכִרְבִיבִים עֲלֵי־עֵשֶׂב,ABH
Deut 32:3,כִּי שֵׁם יְהוָה אֶקְרָא הָבוּ גֹדֶל לֵאלֹהֵינוּ,ABH
Deut 32:4,הַצּוּר תָּמִים פָּעֳלוֺ כִּי כָל־דְּרָכָיו מִשְׁפָּט אֵל אֱמוּנָה וְאֵין עָוֶל צַדִּיק וְיָשָׁר הוּא,ABH
Deut 32:5,שִׁחֵת לוֺ לֹא בָּנָיו מוּמָם דּוֺר עִקֵּשׁ וּפְתַלְתֹּל,ABH
Deut 32:6,הֲ־לַיְהוָה תִּגְמְלוּ־זֹאת עַם נָבָל וְלֹא חָכָם הֲלוֺא־הוּא אָבִיךָ קָּנֶךָ הוּא עָשְׂךָ וַיְכֹנְנֶךָ,ABH
Deut 32:7,זְכֹר יְמוֺת עוֺלָם בִּינוּ שְׁנוֺת דּוֺר־וָדוֺר שְׁאַל אָבִיךָ וְיַגֵּדְךָ זְקֵנֶיךָ וְיֹאמְרוּ לָךְ,ABH
Deut 32:8,בְּהַנְחֵל עֶלְיוֺן גּוֺיִם בְּהַפְרִידוֺ בְּנֵי אָדָם יַצֵּב גְּבֻלֹת עַמִּים לְמִסְפַּר בְּנֵי יִשְׂרָאֵל,ABH
Deut 32:9,כִּי חֵלֶק יְהוָֺה עַמּוֺ יַעֲקֹב חֶבֶל נַחֲלָתוֺ,ABH
Deut 32:10,יִמְצָאֵהוּ בְּאֶרֶץ מִדְבָּר וּבְתֹהוּ יְלֵל יְשִׁמֹן יְסֹבְבֶנְהוּ יְבוֺנְנֵהוּ יִצְּרֶנְהוּ כְּאִישׁוֺן עֵינוֺ,ABH
Deut 32:11,כְּנֶשֶׁר יָעִיר קִנּוֺ עַל־גּוֺזָלָיו יְרַחֵף יִפְרֹשׂ כְּנָפָיו יִקָּחֵהוּ יִשָּׂאֵהוּ עַל־אֶבְרָתוֺ,ABH
Deut 32:12,יְהוָה בָּדָד יַנְחֶנּוּ וְאֵין עִמּוֺ אֵל נֵכָר,ABH
Deut 32:13,יַרְכִּבֵהוּ עַל־בָּמֳתֵי אָרֶץ וַיֹּאכַל תְּנוּבֹת שָׂדָי וַיֵּנִקֵהוּ דְבַשׁ מִסֶּלַע וְשֶׁמֶן מֵחַלְמִישׁ צוּר,ABH
Deut 32:14,חֶמְאַת בָּקָר וַחֲלֵב צֹאן עִם־חֵלֶב כָּרִים וְאֵילִים בְּנֵי־בָשָׁן וְעַתּוּדִים עִם־חֵלֶב כִּלְיוֺת חִטָּה וְדַם־עֵנָב תִּשְׁתֶּה־חָמֶר,ABH
Deut 32:15,וַיִּשְׁמַן יְשֻׁרוּן וַיִּבְעָט שָׁמַנְתָּ עָבִיתָ כָּשִׂיתָ וַיִּטֹּשׁ אֱלוֺהַ עָשָׂהוּ וַיְנַבֵּל צוּר יְשֻׁעָתוֺ,ABH
Deut 32:16,יַקְנִאֻהוּ בְּזָרִים בְּתוֺעֵבֹת יַכְעִיסֻהוּ,ABH
Deut 32:17,יִזְבְּחוּ לַשֵּׁדִים לֹא אֱלֹהַ אֱלֹהִים לֹא יְדָעוּם חֲדָשִׁים מִקָּרֹב בָּאוּ לֹא שְׂעָרוּם אֲבֹתֵיכֶם,ABH
Deut 32:18,צוּר יְלָדְךָ תֶּשִׁי וַתִּשְׁכַּח אֵל מְחֹלְלֶךָ,ABH
Deut 32:19,וַיַּרְא יְהוָה וַיִּנְאָץ מִכַּעַס בָּנָיו וּבְנֹתָיו,ABH
Deut 32:20,וַיֹּאמֶר אַסְתִּירָה פָנַי מֵהֶם אֶרְאֶה מָה אַחֲרִיתָם כִּי דוֺר תַּהְפֻּכֹת הֵמָּה בָּנִים לֹא־אֵמֻן בָּם,ABH
Deut 32:21,הֵם קִנְאוּנִי בְלֹא־אֵל כִּעֲסוּנִי בְּהַבְלֵיהֶם וַאֲנִי אַקְנִיאֵם בְּלֹא־עָם בְּגוֺי נָבָל אַכְעִיסֵם,ABH
Deut 32:22,כִּי־אֵשׁ קָדְחָה בְאַפִּי וַתִּיקַד עַד־שְׁאוֺל תַּחְתִּית וַתֹּאכַל אֶרֶץ וִיבֻלָהּ וַתְּלַהֵט מוֺסְדֵי הָרִים,ABH
Deut 32:23,אַסְפֶּה עָלֵימוֺ רָעוֺת חִצַּי אֲכַלֶּה־בָּם,ABH
Deut 32:24,מְזֵי רָעָב וּלְחֻמֵי רֶשֶׁף וְקֶטֶב מְרִירִי וְשֶׁן־בְּהֵמוֺת אֲשַׁלַּח־בָּם עִם־חֲמַת זֹחֲלֵי עָפָר,ABH
Deut 32:25,מִחוּץ תְּשַׁכֶּל־חֶרֶב וּמֵחֲדָרִים אֵימָה גַּם־בָּחוּר גַּם־בְּתוּלָה יוֺנֵק עִם־אִישׁ שֵׂיבָה,ABH
Deut 32:26,אָמַרְתִּי אַפְאֵיהֶם אַשְׁבִּיתָה מֵאֱנוֺשׁ זִכְרָם,ABH
Deut 32:27,לוּלֵי כַּעַס אוֺיֵב אָגוּר פֶּן־יְנַכְּרוּ צָרֵימוֺ פֶּן־יֹאמְרוּ יָדֵינוּ רָמָה וְלֹא יְהוָה פָּעַל כָּל־זֹאת,ABH
Deut 32:28,כִּי־גוֺי אֹבַד עֵצוֺת הֵמָּה וְאֵין בָּהֶם תְּבוּנָה,ABH
Deut 32:29,לוּ חָכְמוּ יַשְׂכִּילוּ זֹאת יָבִינוּ לְאַחֲרִיתָם,ABH
Deut 32:30,אֵיכָה יִרְדֹּף אֶחָד אֶלֶף וּשְׁנַיִם יָנִיסוּ רְבָבָה אִם־לֹא כִּי־צוּרָם מְכָרָם וַיהוָה הִסְגִּירָם,ABH
Deut 32:31,כִּי לֹא כְצוּרֵנוּ צוּרָם וְאֹיְבֵינוּ פְּלִילִים,ABH
Deut 32:32,כִּי־מִגֶּפֶן סְדֹם גַּפְנָם וּמִשַּׁדְמֹת עֲמֹרָה עֲנָבֵמוֺ עִנְּבֵי־רוֺשׁ אַשְׁכְּלֹת מְרֹרֹת לָמוֺ,ABH
Deut 32:33,חֲמַת תַּנִּינִם יֵינָם וְרֹאשׁ פְּתָנִים אַכְזָר,ABH
Deut 32:34,הֲלֹא־הוּא כָּמֻס עִמָּדִי חָתֻם בְּאוֺצְרֹתָי,ABH
Deut 32:35,לִי נָקָם וְשִׁלֵּם לְעֵת תָּמוּט רַגְלָם כִּי קָרוֺב יוֺם אֵידָם וְחָשׁ עֲתִדֹת לָמוֺ,ABH
Deut 32:36,כִּי־יָדִין יְהוָה עַמּוֺ וְעַל־עֲבָדָיו יִתְנֶחָם כִּי יִרְאֶה כִּי־אָזְלַת יָד וְאֶפֶס עָצוּר וְעָזוּב,ABH
Deut 32:37,וְאָמַר אֵי אֱלֹהֵימוֺ צוּר חָסָיוּ בוֺ,ABH
Deut 32:38,אֲשֶׁר חֵלֶב זְבָחֵימוֺ יֹאכֵלוּ יִשְׁתּוּ יֵין נְסִיכָם יָקוּמוּ וְיַעְזְרֻכֶם יְהִי עֲלֵיכֶם סִתְרָה,ABH
Deut 32:39,רְאוּ עַתָּה כִּי אֲנִי אֲנִי הוּא וְאֵין אֱלֹהִים עִמָּדִי אֲנִי אָמִית וַאֲחַיֶּה מָחַצְתִּי וַאֲנִי אֶרְפָּא וְאֵין מִיָּדִי מַצִּיל,ABH
Deut 32:40,כִּי־אֶשָּׂא אֶל־שָׁמַיִם יָדִי וְאָמַרְתִּי חַי אָנֹכִי לְעֹלָם,ABH
Deut 32:41,אִם־שַׁנּוֺתִי בְּרַק חַרְבִּי וְתֹאחֵז בְּמִשְׁפָּט יָדִי אָשִׁיב נָקָם לְצָרָי וְלִמְשַׂנְאַי אֲשַׁלֵּם,ABH
Deut 32:42,אַשְׁכִּיר חִצַּי מִדָּם וְחַרְבִּי תֹּאכַל בָּשָׂר מִדַּם חָלָל וְשִׁבְיָה מֵרֹאשׁ פַּרְעוֺת אוֺיֵב,ABH
Deut 32:43,הַרְנִינוּ גוֺיִם עַמּוֺ כִּי דַם־עֲבָדָיו יִקּוֺם וְנָקָם יָשִׁיב לְצָרָיו וְכִפֶּר אַדְמָתוֺ עַמּוֺ,ABH
Deut 33:2,יְהוָה מִסִּינַי בָּא וְזָרַח מִשֵּׂעִיר לָמוֺ הוֺפִיעַ מֵהַר פָּארָן וְאָתָה מֵרִבְבֹת קֹדֶשׁ מִימִינוֺ אֵ דָּת לָמוֺ,ABH
Deut 33:3,אַף חֹבֵב עַמִּים כָּל־קְדֹשָׁיו בְּיָדֶךָ וְהֵם תֻּכּוּ לְרַגְלֶךָ יִשָּׂא מִדַּבְּרֹתֶיךָ,ABH
Deut 33:4,תּוֺרָה צִוָּה־לָנוּ מֹשֶׁה מוֺרָשָׁה קְהִלַּת יַעֲקֹב,ABH
Deut 33:5,וַיְהִי בִישֻׁרוּן מֶלֶךְ בְּהִתְאַסֵּף רָאשֵׁי עָם יַחַד שִׁבְטֵי יִשְׂרָאֵל,ABH
Deut 33:6,יְחִי רְאוּבֵן וְאַל־יָמֹת וִיהִי מְתָיו מִסְפָּר,ABH
Deut 33:7,וְזֹאת לִיהוּדָה וַיֹּאמַר שְׁמַע יְהוָה קוֺל יְהוּדָה וְאֶל־עַמּוֺ תְּבִיאֶנּוּ יָדָיו רָב לוֺ וְעֵזֶר מִצָּרָיו תִּהְיֶה,ABH
Deut 33:8,וּלְלֵוִי אָמַר תֻּמֶּיךָ וְאוּרֶיךָ לְאִישׁ חֲסִידֶךָ אֲשֶׁר נִסִּיתוֺ בְּמַסָּה תְּרִיבֵהוּ עַל־מֵי מְרִיבָה,ABH
Deut 33:9,הָאֹמֵר לְאָבִיו וּלְאִמּוֺ לֹא רְאִיתִיו וְאֶת־אֶחָיו לֹא הִכִּיר וְאֶת־בָּנָיו לֹא יָדָע כִּי שָׁמְרוּ אִמְרָתֶךָ וּבְרִיתְךָ יִנְצֹרוּ,ABH
Deut 33:10,יוֺרוּ מִשְׁפָּטֶיךָ לְיַעֲקֹב וְתוֺרָתְךָ לְיִשְׂרָאֵל יָשִׂימוּ קְטוֺרָה בְּאַפֶּךָ וְכָלִיל עַל־מִזְבְּחֶךָ,ABH
Deut 33:11,בָּרֵךְ יְהוָה חֵילוֺ וּפֹעַל יָדָיו תִּרְצֶה מְחַץ מָתְנַיִם קָמָיו וּמְשַׂנְאָיו מִן־יְקוּמוּן,ABH
Deut 33:12,לְבִנְיָמִן אָמַר יְדִיד יְהוָֺה יִשְׁכֹּן לָבֶטַח עָלָיו חֹפֵף עָלָיו כָּל־הַיּוֺם וּבֵין כְּתֵיפָיו שָׁכֵן,ABH
Deut 33:13,וּלְיוֺסֵף אָמַר מְבֹרֶכֶת יְהוָֺה אַרְצוֺ מִמֶּגֶד שָׁמַיִם מִטָּל וּמִתְּהוֺם רֹבֶצֶת תָּחַת,ABH
Deut 33:14,וּמִמֶּגֶד תְּבוּאֹת שָׁמֶשׁ וּמִמֶּגֶד גֶּרֶשׁ יְרָחִים,ABH
Deut 33:15,וּמֵרֹאשׁ הַרְרֵי־קֶדֶם וּמִמֶּגֶד גִּבְעוֺת עוֺלָם,ABH
Deut 33:16,וּמִמֶּגֶד אֶרֶץ וּמְלֹאָהּ וּרְצוֺן שֹׁכְנִי סְנֶה תָּבוֺאתָה לְרֹאשׁ יוֺסֵף וּלְקָדְקֹד נְזִיר אֶחָיו,ABH
Deut 33:17,בְּכוֺר שׁוֺרוֺ הָדָר לוֺ וְקַרְנֵי רְאֵם קַרְנָיו בָּהֶם עַמִּים יְנַגַּח יַחְדָּו אַפְסֵי־אָרֶץ וְהֵם רִבְבוֺת אֶפְרַיִם וְהֵם אַלְפֵי מְנַשֶּׁה,ABH
Deut 33:18,וְלִזְבוּלֻן אָמַר שְׂמַח זְבוּלֻן בְּצֵאתֶךָ וְיִשָּׂשכָר בְּאֹהָלֶיךָ,ABH
Deut 33:19,עַמִּים הַר־יִקְרָאוּ שָׁם יִזְבְּחוּ זִבְחֵי־צֶדֶק כִּי שֶׁפַע יַמִּים יִינָקוּ וּשְׂפוּנֵי טְמוּנֵי חוֺל,ABH
Deut 33:20,וּלְגָד אָמַר בָּרוּךְ מַרְחִיב גָּד כְּלָבִיא שָׁכֵן וְטָרַף זְרוֺעַ אַף־קָדְקֹד,ABH
Deut 33:21,וַיַּרְא רֵאשִׁית לוֺ כִּי־שָׁם חֶלְקַת מְחֹקֵק סָפוּן וַיֵּתֵא רָאשֵׁי עָם צִדְקַת יְהוָה עָשָׂה וּמִשְׁפָּטָיו עִם־יִשְׂרָאֵל,ABH
Deut 33:22,וּלְדָן אָמַר דָּן גּוּר אַרְיֵה יְזַנֵּק מִן־הַבָּשָׁן,ABH
Deut 33:23,וּלְנַפְתָּלִי אָמַר נַפְתָּלִי שְׂבַע רָצוֺן וּמָלֵא בִּרְכַּת יְהוָה יָם וְדָרוֺם יְרָשָׁה,ABH
Deut 33:24,וּלְאָשֵׁר אָמַר בָּרוּךְ מִבָּנִים אָשֵׁר יְהִי רְצוּי אֶחָיו וְטֹבֵל בַּשֶּׁמֶן רַגְלוֺ,ABH
Deut 33:25,בַּרְזֶל וּנְחֹשֶׁת מִנְעָלֶיךָ וּכְיָמֶיךָ דָּבְאֶךָ,ABH
Deut 33:26,אֵין כָּאֵל יְשֻׁרוּן רֹכֵב שָׁמַיִם בְעֶזְרֶךָ וּבְגַאֲוָתוֺ שְׁחָקִים,ABH
Deut 33:27,מְעֹנָה אֱלֹהֵי קֶדֶם וּמִתַּחַת זְרֹעֹת עוֺלָם וַיְגָרֶשׁ מִפָּנֶיךָ אוֺיֵב וַיֹּאמֶר הַשְׁמֵד,ABH
Deut 33:28,וַיִּשְׁכֹּן יִשְׂרָאֵל בֶּטַח בָּדָד עֵין יַעֲקֹב אֶל־אֶרֶץ דָּגָן וְתִירוֺשׁ אַף־שָׁמָיו יַעַרְפוּ טָל,ABH
Deut 33:29,אַשְׁרֶיךָ יִשְׂרָאֵל מִי כָמוֺךָ עַם נוֺשַׁע בַּיהוָה מָגֵן עֶזְרֶךָ וַאֲשֶׁר־חֶרֶב גַּאֲוָתֶךָ וְיִכָּחֲשׁוּ אֹיְבֶיךָ לָךְ וְאַתָּה עַל־בָּמוֺתֵימוֺ תִדְרֹךְ,ABH
Jud 5:2,בִּפְרֹעַ פְּרָעוֺת בְּיִשְׂרָאֵל בְּהִתְנַדֵּב עָם בָּרֲכוּ יְהוָה,ABH
Jud 5:3,שִׁמְעוּ מְלָכִים הַאֲזִינוּ רֹזְנִים אָנֹכִי לַיהוָה אָנֹכִי אָשִׁירָה אֲזַמֵּר לַיהוָה אֱלֹהֵי יִשְׂרָאֵל,ABH
Jud 5:4,יְהוָה בְּצֵאתְךָ מִשֵּׂעִיר בְּצַעְדְּךָ מִשְּׂדֵה אֱדוֺם אֶרֶץ רָעָשָׁה גַּם־שָׁמַיִם נָטָפוּ גַּם־עָבִים נָטְפוּ מָיִם,ABH
Jud 5:5,הָרִים נָזְלוּ מִפְּנֵי יְהוָה זֶה סִינַי מִפְּנֵי יְהוָה אֱלֹהֵי יִשְׂרָאֵל,ABH
Jud 5:6,בִּימֵי שַׁמְגַּר בֶּן־עֲנָת בִּימֵי יָעֵל חָדְלוּ אֳרָחוֺת וְהֹלְכֵי נְתִיבוֺת יֵלְכוּ אֳרָחוֺת עֲקַלְקַלּוֺת,ABH
